material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Pa2ZnReO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,52.5,1.2293,0.92835,1.1777000000000002,0.8992,-5.67458488555088,-3.0349149387896475,0.27638085944939506,9.611194821220165,4.94378784033478
Pa2ZnOsO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,53.0,1.20885,0.91205,1.16365,0.8845500000000001,-6.008554878815129,-3.368884932053897,-0.12131043263130992,9.550584472327554,4.71463701984812
Pa2ZnIrO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,53.5,1.198,0.8994,1.1446,0.87005,-5.86535988170319,-3.225689934941957,-0.32223247851067993,9.51961067301224,4.59868909725078
Pa2ZnPtO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,54.0,1.1868,0.88775,1.1275,0.85765,-5.70931988485032,-3.0696499380890874,-0.29895932896924504,9.647221120412265,4.67413089572151
Pa2ZnAuO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,54.5,1.1638000000000002,1.1638000000000002,1.111,1.111,-5.878864881430809,-3.239194934669577,-0.36242812772880006,9.701312419377585,4.66944214582439
Pa2ZnHgO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.0,1.1344500000000002,1.1344500000000002,1.08535,1.08535,-6.41638487058972,-0.7047499857860939,1.6323732821363,10.366897305892135,5.999635294014221
Pa2ZnTlO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.5,1.10115,1.3205,1.0653000000000001,1.22995,-4.068989917933675,-1.4293199711724425,1.0570885437172342,7.52739566317328,4.29224210344526
Pa2ZnPbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,56.0,1.0723,1.2539,1.0392000000000001,1.1856,-4.68305490554877,-2.0433849587875375,0.56836580352298,8.256640448537276,4.412503126030125
Pa2ZnBiO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,56.5,1.0474,1.20265,1.0162,1.1487500000000002,-5.249964894114919,-2.610294947353687,0.10521046289003,8.93447933481467,4.51984489885235
PaGaO3,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,31.0,1.00335,1.33975,0.97045,1.20865,-2.42898995101038,-2.42898995101038,0.45021121092194,5.67270230559278,3.06145675825736
